gene_name	number_of_transposon_per_gene	number_of_read_pergene
YBR196C-B 	6 	218 	
YBR197C 	47 	3057 	
TAF5 	1 	0 	
KTR4 	14 	118 	
BEM1 	7 	42 	
YBR200W-A 	2 	3 	
DER1 	10 	163 	
YBR201C-A 	2 	6 	
MCM7 	5 	143 	
COS111 	17 	238 	
LDH1 	13 	382 	
KTR3 	23 	460 	
YBR206W 	6 	22 	
FTH1 	15 	385 	
DUR1
YBR209W 	22 	1018 	
ERV15 	4 	32 	
AME1 	4 	25 	
NGR1 	14 	160 	
MET8 	21 	516 	
SDS24 	17 	657 	
HPC2 	20 	168 	
YBP1 	9 	138 	
ATG12 	5 	17 	
PYC2 	32 	625 	
YBR219C 	35 	805 	
YBR220C 	21 	759 	
PDB1 	14 	245 	
YBR221W-A 	9 	383 	
PCS60 	60 	2143 	
TDP1 	54 	1057 	
YBR223W-A 	10 	168 	
YBR224W 	12 	103 	
YBR225W 	12 	187 	
YBR226C 	3 	12 	
MCX1 	18 	289 	
SLX1 	11 	276 	
ROT2 	24 	758 	
OM14 	9 	22 	
YBR230W-A 	8 	26 	
SWC5 	14 	154 	
YBR232C 	8 	99 	
PBP2 	20 	428 	
DAD3 	0 	0 	
ARC40 	0 	0 	
VHC1 	36 	991 	
ABD1 	0 	0 	
PRP5 	1 	0 	
YBR238C 	17 	100 	
ERT1 	56 	1539 	
THI2 	28 	1049 	
YBR241C 	24 	902 	
YBR242W 	16 	532 	
ALG7 	2 	3 	
GPX2 	5 	31 	
ISW1 	21 	967 	
RRT2 	11 	30 	
ENP1 	0 	0 	
HIS7 	18 	271 	
ARO4 	7 	37 	
SPO23 	28 	667 	
MRPS5 	4 	40 	
DUT1 	3 	2 	
SRB6 	1 	0 	
TRS20 	0 	0 	
MTC4 	10 	105 	
YBR255C-A 	5 	50 	
RIB5 	0 	0 	
POP4 	0 	0 	
SHG1 	5 	73 	
YBR259W 	23 	315 	
RGD1 	16 	211 	
TAE1 	10 	209 	
MIC12 	2 	1 	
SHM1 	17 	384 	
YPT10 	8 	31 	
TSC10 	1 	0 	
REI1 	11 	304 	
SLM6 	3 	53 	
MRPL37 	0 	0 	
FMP21 	6 	75 	
BIT2 	23 	464 	
EFM2 	9 	115 	
HSM3 	10 	428 	
UBX7 	11 	91 	
CHK1 	11 	120 	
RIF1 	24 	265 	
PPS1 	26 	729 	
YBR277C 	10 	81 	
DPB3 	4 	34 	
PAF1 	13 	186 	
SAF1 	19 	268 	
DUG2 	30 	462 	
MRPL27 	3 	10 	
SSH1 	8 	71 	
YBR284W 	52 	1848 	
YBR285W 	3 	10 	
APE3 	20 	407 	
YBR287W 	15 	325 	
APM3 	12 	63 	
SNF5 	9 	70 	
BSD2 	10 	62 	
CTP1 	33 	1227 	
YBR292C 	13 	77 	
VBA2 	13 	397 	
SUL1 	26 	468 	
PCA1 	49 	1187 	
PHO89 	27 	1061 	
YBR296C-A 	5 	17 	
MAL33 	24 	284 	
MAL31 	12 	183 	
YBR298C-A 	10 	415 	
MAL32 	4 	41 	
YBR300C 	8 	85 	
PAU24 	2 	1 	
COS2 	0 	0 	
YCL076W 	0 	0 	
GEX1 	2 	1 	
VBA3 	1 	0 	
YCL068C 	1 	0 	
HMLALPHA2 	0 	0 	
HMLALPHA1 	0 	0 	
YCL065W 	0 	0 	
CHA1 	1 	0 	
VAC17 	9 	105 	
MRC1 	27 	295 	
KRR1 	3 	11 	
FYV5 	4 	48 	
ADF1 	1 	0 	
MIC10 	7 	144 	
PRD1 	28 	459 	
PEX34 	10 	96 	
KAR4 	10 	145 	
SPB1 	6 	74 	
PBN1 	5 	41 	
LRE1 	34 	1415 	
APA1 	15 	288 	
YCL049C 	26 	342 	
YCL048W-A 	4 	49 	
SPS22 	46 	2420 	
POF1 	14 	495 	
EMC1 	27 	503 	
YCL046W 	4 	8 	
MGR1 	42 	958 	
PDI1 	2 	1 	
YCL041C 	37 	325 	
YCL042W 	34 	1116 	
GLK1 	85 	3799 	
GID7 	80 	2403 	
ATG22 	41 	1207 	
SRO9 	33 	1058 	
GFD2 	81 	3566 	
GRX1 	5 	89 	
LSB5 	49 	2380 	
MXR2 	16 	202 	
STE50 	33 	1601 	
RRP7 	3 	6 	
HIS4 	58 	1640 	
BIK1 	76 	4526 	
RNQ1 	30 	1378 	
FUS1 	64 	1353 	
HBN1 	26 	211 	
FRM2 	27 	1148 	
AGP1 	84 	3577 	
YCL023C 	35 	1681 	
KCC4 	191 	7932 	
YCL022C 	43 	2083 	
YCL021W-A 	35 	1574 	
LEU2 	0 	0 	
NFS1 	1 	0 	
DCC1 	19 	570 	
BUD3 	361 	16269 	
