gene_name number_of_transposon_per_gene number_of_read_per_gene
BSD2 27 1190
CTP1 32 1118
YBR292C 11 368
VBA2 35 2032
SUL1 42 1897
PCA1 49 2827
PHO89 34 1527
YBR296C-A 5 139
MAL33 19 580
MAL31 26 1095
YBR298C-A 11 245
MAL32 14 256
YBR300C 7 86
PAU24 2 1
COS2 2 1
YCL076W 4 45
GEX1 6 13
VBA3 7 19
YCL068C 6 130
HMLALPHA2 0 0
HMLALPHA1 1 0
YCL065W 2 22
CHA1 14 78
VAC17 13 126
MRC1 26 522
KRR1 2 1
FYV5 20 858
ADF1 11 619
MIC10 14 385
PRD1 24 948
PEX34 8 101
KAR4 16 333
RDT1 0 0
SPB1 10 85
PBN1 12 305
LRE1 38 1662
APA1 19 577
YCL049C 18 528
YCL048W-A 16 487
SPS22 42 2121
POF1 11 281
EMC1 42 987
YCL046W 6 56
MGR1 53 2030
PDI1 8 100
YCL041C 42 423
YCL042W 26 939
GLK1 106 5835
GID7 57 2083
ATG22 28 593
SRO9 32 1105
GFD2 88 4494
GRX1 5 16
LSB5 36 2091
MXR2 13 161
STE50 21 855
RRP7 2 1
HIS4 93 3433
BIK1 68 5045
RNQ1 32 1160
FUS1 41 2318
HBN1 23 370
FRM2 36 2899
AGP1 87 4336
YCL023C 37 1573
KCC4 89 3706
YCL022C 16 231
YCL021W-A 30 863
LEU2 49 1929
NFS1 10 15
DCC1 20 545
BUD3 143 4877
YCL012C 29 460
GBP2 67 2343
SGF29 47 1932
ILV6 69 2712
STP22 30 885
YCL007C 9 423
VMA9 2 1
LDB16 45 1510
PGS1 25 794
YCL002C 57 2130
RER1 33 730
YCL001W-A 20 183
YCL001W-B 11 195
YCR001W 12 549
CDC10 1 0
MRPL32 19 374
YCP4 37 1232
CIT2 78 6153
YCR006C 180 9726
YCR007C 43 2375
SAT4 48 890
RVS161 13 231
ADY2 60 2501
ADP1 108 6231
PGK1 5 6
YCR013C 4 5
POL4 66 1950
YCR015C 35 984
YCR016W 16 231
CWH43 36 719
SRD1 11 265
YCR018C-A 15 414
MAK32 50 3000
PET18 19 891
MAK31 6 41
HTL1 1 0
HSP30 45 2414
YCR022C 64 2276
YCR023C 59 3161
SLM5 21 258
YCR024C-B 6 146
PMP1 2 1
YCR025C 60 1525
NPP1 103 3863
RHB1 10 179
FEN2 31 882
RIM1 5 29
SYP1 44 1365
RPS14A 12 137
BPH1 95 3154
SNT1 53 2492
ELO2 10 170
RRP43 1 0
RBK1 27 1284
PHO87 33 1388
BUD5 13 107
YCR038W-A 1 0
MATALPHA2 1 0
MATALPHA1 1 0
YCR041W 4 67
TAF2 17 523
YCR043C 4 67
PER1 1 0
RRT12 41 2018
YCR045W-A 9 386
IMG1 9 108
BUD23 2 6
YCR047W-A 0 0
YCR049C 12 425
ARE1 51 2348
YCR050C 11 438
YCR051W 17 593
RSC6 5 21
THR4 18 175
CTR86 14 348
PWP2 6 206
YIH1 22 602
TAH1 15 640
YCR061W 131 7537
YCR064C 36 2585
BUD31 15 376
HCM1 40 1558
RAD18 15 143
SED4 48 2658
ATG15 49 1567
CPR4 16 638
IMG2 5 17
RSA4 2 1
SSK22 82 5781
SOL2 17 418
ERS1 19 592
YCR075W-A 1 0
FUB1 17 652
PAT1 13 120
PTC6 36 1390
SRB8 74 5521
YCR081C-A 11 488
AHC2 5 48
TRX3 10 136
TUP1 2 1
YCR085W 15 171
CSM1 11 87
YCR087W 12 443
YCR087C-A 11 442
ABP1 35 782
FIG2 40 1486
YCR090C 17 469
KIN82 39 2353
MSH3 48 1847
CDC39 23 327
CDC50 24 734
OCA4 14 459
YCR095W-A 8 122
HMRA2 0 0
HMRA1 0 0
YCR097W-A 1 0
GIT1 35 1450
YCR099C 3 5
YCR100C 20 548
YCR101C 9 121
YCR102C 37 1371
YCR102W-A 1 0
PAU3 4 23
ADH7 52 1918
RDS1 36 1618
AAD3 26 1424
YCR108C 11 138
COS7 2 1
YDL247W-A 1 0
MPH2 5 6
SOR2 2 1
HXT15 9 26
THI13 10 65
AAD4 20 1057
YDL242W 11 237
YDL241W 3 2
YDL240C-A 21 654
LRG1 16 390
ADY3 15 454
GUD1 16 347
AIM6 10 124
PHO13 8 178
YPD1 2 2
GYP7 17 800
MFG1 11 358
OST4 1 0
BRE4 36 1148
PTP1 20 406
SSB1 13 374
YDL228C 6 259
HO 58 1657
GCS1 6 90
SHS1 10 337
WHI4 10 364
HBT1 62 2284
FMP45 24 936
YDL221W 48 2332
CDC13 38 1802
DTD1 0 0
YDL218W 23 743
TIM22 1 0
RRI1 14 406
GDH2 56 2436
PRR2 31 1295
NOP6 8 218
SHR3 0 0
YDL211C 19 647
UGA4 45 1711
CWC2 1 0
NHP2 2 30
GLE1 7 432
YDL206W 13 295
HEM3 3 2
RTN2 17 332
ACK1 26 668
MRPL11 3 24
TRM8 18 596
MGT1 10 258
YDL199C 22 790
GGC1 0 0
ASF2 33 876
YDL196W 59 1689
SEC31 2 1
SNF3 26 592
NUS1 1 0
ARF1 0 0
