gene_name number_of_transposon_per_gene number_of_read_per_gene
SOL2 30 692
ERS1 26 326
YCR075W-A 5 12
FUB1 21 608
PAT1 14 218
PTC6 29 685
SRB8 110 7038
YCR081C-A 12 637
AHC2 6 32
TRX3 6 69
TUP1 1 0
YCR085W 10 186
CSM1 10 109
YCR087W 8 201
YCR087C-A 7 199
ABP1 43 1026
FIG2 43 1073
YCR090C 9 267
KIN82 37 2117
MSH3 43 1399
CDC39 31 342
CDC50 23 418
OCA4 16 395
YCR095W-A 3 12
HMRA2 0 0
HMRA1 2 6
YCR097W-A 0 0
GIT1 32 604
YCR099C 10 115
YCR100C 20 755
YCR101C 15 357
YCR102C 42 1549
YCR102W-A 2 2
PAU3 4 10
ADH7 46 1597
RDS1 48 2342
AAD3 33 1140
YCR108C 14 262
COS7 4 3
YDL247W-A 0 0
MPH2 5 4
SOR2 2 1
HXT15 12 133
THI13 10 50
AAD4 24 816
YDL242W 7 86
YDL241W 10 23
YDL240C-A 21 702
LRG1 25 438
ADY3 15 483
GUD1 21 445
AIM6 14 233
PHO13 8 151
YPD1 1 0
GYP7 41 1500
MFG1 23 584
OST4 1 0
BRE4 39 1059
PTP1 20 497
SSB1 11 66
YDL228C 6 17
HO 66 2113
GCS1 3 33
SHS1 16 157
WHI4 27 1162
HBT1 92 3421
FMP45 21 650
YDL221W 49 2477
CDC13 36 2518
DTD1 0 0
YDL218W 23 426
TIM22 3 7
RRI1 15 216
GDH2 53 2608
PRR2 40 930
NOP6 13 266
SHR3 2 1
YDL211C 30 612
UGA4 45 1995
CWC2 3 2
NHP2 2 6
GLE1 6 51
YDL206W 28 537
HEM3 6 12
RTN2 23 1153
ACK1 30 417
MRPL11 5 63
TRM8 15 428
MGT1 14 625
YDL199C 29 1176
GGC1 0 0
ASF2 41 1360
YDL196W 49 1449
SEC31 5 4
SNF3 27 316
NUS1 3 8
ARF1 6 32
RPL35A 1 0
UFD2 24 256
RBS1 25 901
PPH22 20 439
YDL187C 5 7
YDL186W 10 188
YDL185C-A 10 288
VMA1 10 17
RPL41A 1 0
YDL183C 19 489
LYS20 27 711
INH1 1 0
YDL180W 11 55
PCL9 8 49
DLD2 33 604
YDL177C 15 503
YDL176W 26 929
AIR2 16 407
DLD1 36 1180
PAR32 11 115
YDL172C 7 14
GLT1 116 5567
UGA3 30 927
UGX2 12 174
SFA1 32 1750
NRP1 1 0
FAP7 5 105
CDC36 2 1
CDC9 11 357
YDL163W 10 355
YDL162C 30 735
ENT1 17 390
MHF2 6 113
DHH1 7 24
YDL159W-A 16 195
STE7 23 288
YDL159C-B 0 0
YDL158C 4 8
YDL157C 5 13
CMR1 35 1231
CLB3 24 682
MSH5 51 1665
SAS10 4 39
YDL152W 13 198
BUD30 0 0
RPC53 1 0
ATG9 31 837
NOP14 17 215
RPN5 1 0
LDB17 26 957
COP1 6 24
YDL144C 32 1041
CCT4 2 1
CRD1 31 1420
BPL1 4 3
RPO21 11 56
SCM3 1 0
RGT2 38 1469
ARF2 9 55
RPL35B 9 236
RDI1 10 161
PPH21 17 149
RPL41B 0 0
SRF1 19 543
CDC53 9 39
LYS21 30 1399
STF1 7 173
RPP1B 6 44
YDL129W 17 612
VCX1 28 491
PCL2 45 1643
CDC48 7 161
HNT1 3 29
YDL124W 16 585
SNA4 12 393
UBP1 28 439
YDL121C 10 140
YFH1 0 0
YDL119C 11 342
YDL118W 3 3
CYK3 21 262
NUP84 2 1
IWR1 25 707
YDL114W-A 1 0
YDL114W 16 294
ATG20 20 658
TRM3 57 2349
RRP42 3 7
TMA17 6 208
YDL109C 36 1214
KIN28 4 4
MSS2 9 37
PHO2 18 718
NSE4 0 0
QRI7 30 652
QRI1 4 5
POL3 8 15
DUN1 26 744
GET3 21 1323
BUG1 11 148
SNU23 5 56
RPN6 6 7
OPI6 4 3
PMT1 13 160
YDL094C 30 979
PMT5 25 904
SRP14 17 264
UBX3 19 1009
RAM1 3 15
NUR1 18 780
ASM4 19 634
LUC7 11 70
YDL086W 31 846
YDL086C-A 19 383
YDL085C-A 6 34
NDE2 30 581
SUB2 1 0
RPS16B 11 56
RPL13A 7 84
RPP1A 3 2
