gene_name number_of_transposon_per_gene number_of_read_per_gene
AIM6 11 165
PHO13 9 162
YPD1 3 2
GYP7 26 1202
MFG1 17 664
OST4 0 0
BRE4 36 1223
PTP1 21 343
SSB1 14 358
YDL228C 10 200
HO 62 2151
GCS1 6 54
SHS1 16 241
WHI4 18 796
HBT1 76 2987
FMP45 27 792
YDL221W 48 2093
CDC13 36 1718
DTD1 2 2
YDL218W 22 900
TIM22 4 18
RRI1 16 559
GDH2 56 2623
PRR2 31 743
NOP6 11 193
SHR3 0 0
YDL211C 20 630
UGA4 47 2606
CWC2 2 1
NHP2 2 1
GLE1 6 129
YDL206W 16 269
HEM3 6 6
RTN2 20 595
ACK1 23 541
MRPL11 3 7
TRM8 17 401
MGT1 8 245
YDL199C 20 508
GGC1 3 3
ASF2 36 1088
YDL196W 48 1590
SEC31 6 5
SNF3 24 703
NUS1 1 0
ARF1 2 1
RPL35A 4 3
UFD2 23 346
RBS1 30 802
PPH22 11 246
YDL187C 5 81
YDL186W 10 182
YDL185C-A 10 224
VMA1 2 2
RPL41A 0 0
YDL183C 19 282
LYS20 32 1383
INH1 6 67
YDL180W 8 19
PCL9 8 26
DLD2 27 1080
YDL177C 9 292
YDL176W 13 405
AIR2 15 436
DLD1 51 1774
PAR32 8 66
YDL172C 4 34
GLT1 91 3606
UGA3 27 1508
UGX2 16 243
SFA1 19 688
NRP1 33 923
FAP7 3 8
CDC36 3 2
CDC9 5 25
YDL163W 3 23
YDL162C 28 1449
ENT1 13 104
MHF2 3 10
DHH1 4 35
YDL159W-A 12 152
STE7 15 449
YDL159C-B 2 1
YDL158C 2 2
YDL157C 1 0
CMR1 36 1924
CLB3 13 486
MSH5 55 1984
SAS10 1 0
YDL152W 16 539
BUD30 1 0
RPC53 4 5
ATG9 28 1017
NOP14 21 340
RPN5 3 17
LDB17 15 152
COP1 7 70
YDL144C 26 1187
CCT4 0 0
CRD1 11 240
BPL1 8 17
RPO21 11 31
SCM3 1 0
RGT2 33 1283
ARF2 7 91
RPL35B 9 266
RDI1 9 56
PPH21 14 163
RPL41B 1 0
SRF1 15 1393
CDC53 8 22
LYS21 28 1213
STF1 8 128
RPP1B 5 87
YDL129W 14 545
VCX1 22 833
PCL2 28 1062
CDC48 10 60
HNT1 1 0
YDL124W 25 1596
SNA4 15 234
UBP1 16 331
YDL121C 10 625
YFH1 2 1
YDL119C 13 452
YDL118W 3 48
CYK3 16 392
NUP84 4 3
IWR1 17 860
YDL114W-A 0 0
YDL114W 19 703
ATG20 23 324
TRM3 39 1565
RRP42 2 2
TMA17 12 93
YDL109C 40 2500
KIN28 8 71
MSS2 14 429
PHO2 9 90
NSE4 0 0
QRI7 25 1163
QRI1 2 2
POL3 12 19
DUN1 26 1181
GET3 22 543
BUG1 8 318
SNU23 6 104
RPN6 4 3
OPI6 14 279
PMT1 22 624
YDL094C 29 1078
PMT5 40 946
SRP14 11 283
UBX3 23 715
RAM1 6 30
NUR1 15 241
ASM4 18 383
LUC7 8 119
YDL086W 28 1191
YDL086C-A 19 732
YDL085C-A 4 32
NDE2 23 803
SUB2 3 2
RPS16B 11 99
RPL13A 12 190
RPP1A 3 22
THI3 31 792
MRK1 40 1436
MDH3 12 80
VAM6 4 4
RXT3 25 610
RPL31A 0 0
BRE1 1 0
YDL073W 38 1095
YET3 5 26
YDL071C 34 1177
BDF2 16 428
CBS1 8 178
YDL068W 3 21
COX9 4 3
IDP1 26 624
PEX19 18 637
UBC9 2 1
SYO1 25 750
YDL062W 8 36
RPS29B 3 6
TSR1 7 10
RAD59 24 729
USO1 20 759
YDL057W 23 304
MBP1 22 459
PSA1 1 0
MCH1 63 2393
PBP4 8 137
SLC1 17 293
LHP1 27 593
YDL050C 18 284
KNH1 42 1218
STP4 48 2336
SIT4 8 40
NPC2 7 51
MRP10 1 0
FAD1 3 2
MTF2 15 175
PRP11 1 0
SIR2 39 1076
YDL041W 17 330
NAT1 25 649
PRM7 51 1917
BSC1 6 180
PUS9 24 654
GPR1 28 493
YDL034W 3 34
SLM3 40 1805
YDL032W 9 160
DBP10 19 50
PRP9 3 3
ARP2 1 0
MPS1 12 466
YDL027C 23 708
YDL026W 12 295
RTK1 36 1184
YDL025W-A 1 0
DIA3 43 1170
YDL022C-A 14 834
YDL023C 13 182
GPD1 36 898
GPM2 46 1929
RPN4 68 3038
OSH2 115 6017
ERP3 14 447
CDC7 8 459
YDL016C 5 355
TSC13 1 0
NOP1 0 0
SLX5 35 553
YDL012C 16 462
YDL011C 14 382
GRX6 26 809
YDL009C 17 408
APC11 6 13
YDL007C-A 12 125
RPT2 1 0
PTC1 0 0
MED2 36 507
ATP16 6 32
MCD1 0 0
NHP10 17 67
RMD1 69 3196
NTH1 114 4393
YRB1 1 0
RCR2 69 3452
YDR003W-A 10 202
RAD57 33 1371
MAF1 16 283
SOK1 53 1020
TRP1 43 1431
YDR008C 59 2332
GAL3 65 2578
YDR010C 62 2376
SNQ2 140 6031
RPL4B 13 389
PSF1 0 0
RAD61 41 1186
HED1 12 265
YDR015C 8 198
DAD1 1 0
KCS1 48 909
YDR018C 57 3115
GCV1 35 1009
DAS2 33 1614
FAL1 3 2
ATG31 15 522
SES1 5 4
FYV1 44 830
RPS11A 8 50
NSI1 37 1343
VPS54 14 112
REG1 34 1059
YDR029W 8 22
RAD28 36 1753
MIX14 14 269
