gene_name number_of_transposon_per_gene number_of_read_per_gene
YDR203W 4 42
COQ4 8 82
MSC2 12 36
EBS1 19 301
UME6 26 551
MSS4 13 105
YDR209C 5 44
YDR210W 3 31
GCD6 7 30
TCP1 3 2
UPC2 66 1574
AHA1 29 1412
YDR215C 37 1384
ADR1 38 921
RAD9 56 1342
SPR28 14 279
MFB1 9 44
YDR220C 18 598
GTB1 37 1104
YDR222W 17 394
CRF1 11 410
HTB1 2 1
HTA1 2 3
ADK1 2 1
SIR4 22 279
PCF11 6 28
IVY1 27 681
YDR230W 13 246
COX20 12 214
HEM1 1 0
RTN1 8 173
LYS4 31 650
PRP42 3 6
FMN1 1 0
MRPL7 3 2
SEC26 2 1
YDR239C 31 772
SNU56 5 65
BUD26 31 971
AMD2 38 989
PRP28 8 23
PEX5 20 452
MNN10 8 62
TRS23 4 5
YDR246W-A 43 1468
VHS1 26 523
YDR248C 17 766
YDR249C 24 529
YDR250C 37 1210
PAM1 19 645
BTT1 5 33
MET32 7 130
CHL4 6 60
RMD5 10 148
CTA1 48 1205
RKM4 17 293
HSP78 66 2377
YAP6 43 851
SWM1 37 1321
EXG2 19 339
YDR262W 3 9
DIN7 16 228
AKR1 8 10
PEX10 14 138
HEL2 20 182
CIA1 2 1
MSW1 8 43
YDR269C 5 31
CCC2 51 1360
YDR271C 21 327
GLO2 13 231
DON1 16 291
YDR274C 61 2630
BSC2 7 107
PMP3 3 22
MTH1 32 728
YDR278C 24 1005
RNH202 20 765
RRP45 1 0
PHM6 5 11
YDR282C 17 417
GCN2 37 608
DPP1 15 203
ZIP1 23 747
YDR286C 5 70
INM2 10 222
NSE3 0 0
RTT103 2 1
YDR290W 14 235
HRQ1 45 2198
SRP101 1 0
SSD1 44 505
DPL1 20 601
HDA2 19 513
MHR1 2 2
SUR2 9 116
ATP5 3 2
BFR2 0 0
PRO1 3 2
CFT1 5 4
GPI11 0 0
RSC3 0 0
CPR5 16 290
HNT2 17 463
YDR306C 11 407
PMT7 23 619
SRB7 1 0
GIC2 20 254
SUM1 32 628
TFB1 5 7
SSF2 27 955
PIB1 21 456
RAD34 43 1513
IPK1 4 7
OMS1 20 308
HIM1 15 196
MCM21 11 157
YFT2 18 592
SWA2 16 249
DAD4 1 0
YDR320W-B 16 425
ASP1 17 692
MRPL35 3 12
TIM11 4 14
PEP7 12 183
UTP4 2 11
YCG1 2 1
YSP2 40 1240
YDR327W 3 2
SKP1 4 3
PEX3 26 748
UBX5 13 177
GPI8 2 1
IRC3 24 641
RQC1 22 518
SWR1 65 2601
MSN5 11 28
YDR336W 18 806
MRPS28 3 2
YDR338C 45 1224
FCF1 0 0
YDR340W 26 958
YDR341C 1 0
HXT7 5 26
HXT6 5 4
YDR344C 42 1386
HXT3 33 984
SVF1 26 788
MRP1 4 4
PAL1 23 447
YPS7 15 345
ATP22 9 39
SBE2 22 524
YPQ2 14 292
TRR1 5 5
TRP4 15 334
YDR354C-A 0 0
YDR355C 2 1
SPC110 5 7
CNL1 23 998
GGA1 27 460
EAF1 17 332
OPI7 8 30
BCP1 2 1
TFC6 11 167
ESC2 20 442
SEM1 1 0
CDC40 6 6
ESF1 3 3
YDR366C 17 176
KEI1 4 28
YPR1 10 40
XRS2 34 832
DXO1 23 399
CTS2 20 476
YDR371C-A 1 0
VPS74 5 104
FRQ1 0 0
PHO92 20 288
WIP1 1 0
BCS1 13 63
ARH1 2 2
ATP17 5 45
LSM6 0 0
RGA2 36 1021
SDH6 7 124
ARO10 37 752
YRA1 4 16
YDR381C-A 5 4
RPP2B 4 33
NKP1 19 317
ATO3 34 1329
EFT2 8 37
MUS81 20 353
YDR387C 17 172
RVS167 26 216
SAC7 10 99
UBA2 8 288
YDR391C 16 348
SPT3 10 86
SHE9 29 453
RPT3 0 0
SXM1 25 300
YDR396W 6 13
NCB2 6 13
UTP5 5 124
HPT1 9 33
URH1 27 1172
YDR401W 24 577
DIT2 40 925
DIT1 26 603
RPB7 2 1
MRP20 18 120
PDR15 137 5649
YDR406W-A 6 29
TRS120 7 33
ADE8 1 0
SIZ1 16 464
STE14 32 1173
DFM1 17 427
RRP17 1 0
YDR413C 0 0
