gene_name	number_of_transposon_per_gene	number_of_read_pergene
YMC2 	25 	530 	
VID24 	3 	8 	
PHO88 	2 	1 	
IML3 	2 	15 	
AIM3 	20 	251 	
CMD1 	0 	0 	
YBR109W-A 	5 	102 	
ALG1 	0 	0 	
YSA1 	7 	23 	
SUS1 	1 	0 	
CYC8 	1 	0 	
YBR113W 	3 	6 	
RAD16 	10 	66 	
LYS2 	16 	251 	
YBR116C 	21 	330 	
TKL2 	32 	456 	
TEF2 	1 	0 	
MUD1 	9 	196 	
CBP6 	0 	0 	
GRS1 	0 	0 	
YBR121C-A 	0 	0 	
MRPL36 	3 	32 	
TFC1 	1 	0 	
YBR124W 	10 	90 	
PTC4 	9 	67 	
TPS1 	3 	15 	
YBR126W-A 	9 	80 	
YBR126W-B 	7 	53 	
VMA2 	1 	0 	
ATG14 	3 	19 	
OPY1 	4 	26 	
SHE3 	5 	36 	
CCZ1 	0 	0 	
YBR131C-A 	0 	0 	
AGP2 	13 	139 	
HSL7 	7 	56 	
YBR134W 	10 	260 	
CKS1 	1 	0 	
MEC1 	1 	0 	
YBR137W 	8 	37 	
YBR138C 	14 	284 	
YBR139W 	13 	193 	
IRA1 	6 	48 	
BMT2 	16 	91 	
YBR141W-A 	1 	0 	
MAK5 	1 	0 	
SUP45 	0 	0 	
YBR144C 	9 	185 	
ADH5 	2 	9 	
MRPS9 	2 	6 	
RTC2 	8 	61 	
YSW1 	13 	170 	
ARA1 	8 	47 	
TBS1 	11 	101 	
APD1 	5 	34 	
SPP381 	4 	30 	
RIB7 	0 	0 	
RPB5 	0 	0 	
CNS1 	1 	0 	
SLI15 	2 	8 	
ICS2 	6 	97 	
AMN1 	15 	218 	
IFA38 	0 	0 	
CDC28 	1 	0 	
CSH1 	4 	21 	
TOS1 	17 	166 	
YSY6 	1 	0 	
EXO5 	2 	8 	
ARL1 	1 	0 	
UBS1 	2 	7 	
TYR1 	1 	0 	
POP7 	0 	0 	
PEX32 	4 	7 	
SSE2 	9 	53 	
NPL4 	4 	17 	
SEC66 	5 	4 	
SMY2 	8 	34 	
UMP1 	1 	0 	
YBR174C 	3 	9 	
SWD3 	6 	18 	
ECM31 	2 	2 	
EHT1 	10 	133 	
YBR178W 	13 	184 	
FZO1 	1 	0 	
DTR1 	12 	54 	
RPS6B 	2 	1 	
SMP1 	11 	65 	
YBR182C-A 	0 	0 	
YPC1 	6 	42 	
YBR184W 	9 	163 	
MBA1 	3 	6 	
PCH2 	20 	259 	
GDT1 	11 	278 	
NTC20 	7 	40 	
RPS9B 	0 	0 	
YBR190W 	5 	7 	
RPL21A 	0 	0 	
YBR191W-A 	0 	0 	
RIM2 	0 	0 	
MED8 	0 	0 	
AIM4 	5 	38 	
MSI1 	10 	124 	
PGI1 	0 	0 	
YBR196C-A 	11 	31 	
YBR196C-B 	5 	65 	
YBR197C 	43 	941 	
TAF5 	0 	0 	
KTR4 	5 	13 	
BEM1 	4 	33 	
YBR200W-A 	1 	0 	
DER1 	6 	35 	
YBR201C-A 	4 	10 	
MCM7 	5 	104 	
COS111 	7 	103 	
LDH1 	10 	96 	
KTR3 	14 	332 	
YBR206W 	3 	14 	
FTH1 	11 	70 	
DUR1
YBR209W 	20 	341 	
ERV15 	4 	18 	
AME1 	2 	1 	
NGR1 	7 	47 	
MET8 	18 	212 	
SDS24 	10 	107 	
HPC2 	6 	43 	
YBP1 	6 	25 	
ATG12 	0 	0 	
PYC2 	21 	136 	
YBR219C 	22 	263 	
YBR220C 	19 	238 	
PDB1 	7 	63 	
YBR221W-A 	6 	164 	
PCS60 	51 	905 	
TDP1 	28 	390 	
YBR223W-A 	7 	66 	
YBR224W 	16 	180 	
YBR225W 	5 	5 	
YBR226C 	1 	0 	
MCX1 	20 	320 	
SLX1 	7 	42 	
ROT2 	10 	63 	
OM14 	6 	10 	
YBR230W-A 	2 	3 	
SWC5 	2 	1 	
YBR232C 	4 	12 	
PBP2 	7 	15 	
DAD3 	0 	0 	
ARC40 	0 	0 	
VHC1 	31 	345 	
ABD1 	0 	0 	
PRP5 	0 	0 	
YBR238C 	5 	39 	
ERT1 	50 	765 	
THI2 	24 	668 	
YBR241C 	20 	403 	
YBR242W 	10 	124 	
ALG7 	0 	0 	
GPX2 	1 	0 	
ISW1 	14 	247 	
RRT2 	5 	62 	
ENP1 	0 	0 	
HIS7 	3 	7 	
ARO4 	4 	6 	
SPO23 	21 	384 	
MRPS5 	6 	52 	
DUT1 	1 	0 	
SRB6 	2 	1 	
TRS20 	0 	0 	
MTC4 	4 	43 	
YBR255C-A 	2 	7 	
RIB5 	1 	0 	
POP4 	0 	0 	
SHG1 	2 	10 	
YBR259W 	13 	179 	
RGD1 	8 	46 	
TAE1 	10 	76 	
MIC12 	0 	0 	
SHM1 	13 	282 	
YPT10 	4 	8 	
TSC10 	2 	1 	
REI1 	5 	31 	
SLM6 	0 	0 	
MRPL37 	2 	4 	
FMP21 	1 	0 	
BIT2 	8 	26 	
EFM2 	6 	36 	
HSM3 	4 	34 	
UBX7 	7 	14 	
CHK1 	12 	249 	
RIF1 	17 	188 	
PPS1 	9 	112 	
YBR277C 	6 	28 	
DPB3 	4 	32 	
PAF1 	6 	60 	
SAF1 	12 	166 	
DUG2 	12 	287 	
MRPL27 	1 	0 	
SSH1 	6 	27 	
YBR284W 	44 	669 	
YBR285W 	3 	3 	
APE3 	11 	144 	
YBR287W 	6 	17 	
APM3 	3 	5 	
SNF5 	6 	83 	
BSD2 	10 	87 	
CTP1 	28 	340 	
YBR292C 	7 	21 	
VBA2 	13 	130 	
SUL1 	16 	179 	
PCA1 	36 	615 	
PHO89 	19 	237 	
YBR296C-A 	2 	2 	
MAL33 	20 	142 	
MAL31 	9 	72 	
YBR298C-A 	7 	95 	
MAL32 	5 	89 	
YBR300C 	3 	15 	
PAU24 	1 	0 	
COS2 	0 	0 	
YCL076W 	1 	0 	
GEX1 	2 	1 	
VBA3 	0 	0 	
YCL068C 	0 	0 	
HMLALPHA2 	0 	0 	
HMLALPHA1 	0 	0 	
YCL065W 	1 	0 	
CHA1 	1 	0 	
VAC17 	8 	113 	
MRC1 	4 	57 	
KRR1 	0 	0 	
FYV5 	3 	42 	
ADF1 	1 	0 	
MIC10 	3 	26 	
PRD1 	19 	123 	
PEX34 	8 	76 	
KAR4 	9 	112 	
SPB1 	2 	2 	
PBN1 	3 	32 	
LRE1 	35 	913 	
APA1 	8 	54 	
YCL049C 	14 	197 	
YCL048W-A 	4 	3 	
SPS22 	31 	536 	
POF1 	6 	25 	
EMC1 	25 	380 	
YCL046W 	2 	1 	
MGR1 	43 	987 	
PDI1 	1 	0 	
YCL041C 	19 	61 	
YCL042W 	24 	480 	
GLK1 	64 	1061 	
GID7 	24 	471 	
ATG22 	20 	320 	
SRO9 	12 	158 	
GFD2 	52 	869 	
GRX1 	4 	13 	
LSB5 	38 	1135 	
MXR2 	8 	62 	
STE50 	24 	525 	
RRP7 	4 	7 	
HIS4 	10 	152 	
BIK1 	47 	767 	
RNQ1 	17 	267 	
FUS1 	45 	869 	
HBN1 	9 	57 	
FRM2 	21 	392 	
AGP1 	63 	1584 	
YCL023C 	16 	470 	
KCC4 	152 	2992 	
YCL022C 	31 	430 	
YCL021W-A 	14 	164 	
LEU2 	0 	0 	
NFS1 	0 	0 	
DCC1 	4 	15 	
BUD3 	269 	6921 	
YCL012C 	20 	219 	
GBP2 	82 	2062 	
SGF29 	41 	1132 	
ILV6 	45 	750 	
STP22 	14 	169 	
YCL007C 	2 	8 	
VMA9 	0 	0 	
LDB16 	35 	486 	
PGS1 	19 	561 	
YCL002C 	49 	1503 	
RER1 	20 	76 	
YCL001W-A 	27 	118 	
YCL001W-B 	13 	99 	
YCR001W 	15 	292 	
CDC10 	3 	9 	
MRPL32 	27 	618 	
YCP4 	25 	350 	
CIT2 	108 	4430 	
YCR006C 	58 	3763 	
YCR007C 	41 	1217 	
SAT4 	25 	345 	
RVS161 	17 	101 	
ADY2 	29 	625 	
ADP1 	100 	2561 	
PGK1 	1 	0 	
YCR013C 	2 	4 	
POL4 	49 	1135 	
YCR015C 	36 	638 	
YCR016W 	28 	367 	
CWH43 	48 	1160 	
SRD1 	11 	122 	
YCR018C-A 	8 	231 	
MAK32 	38 	709 	
PET18 	24 	197 	
MAK31 	9 	111 	
HTL1 	0 	0 	
HSP30 	30 	329 	
YCR022C 	26 	313 	
YCR023C 	48 	814 	
SLM5 	5 	12 	
YCR024C-B 	9 	116 	
PMP1 	3 	15 	
YCR025C 	38 	723 	
NPP1 	46 	784 	
RHB1 	4 	34 	
FEN2 	13 	161 	
RIM1 	1 	0 	
SYP1 	46 	800 	
RPS14A 	8 	71 	
BPH1 	46 	707 	
SNT1 	32 	614 	
ELO2 	4 	5 	
RRP43 	1 	0 	
RBK1 	18 	203 	
PHO87 	36 	442 	
BUD5 	17 	114 	
YCR038W-A 	2 	9 	
MATALPHA2 	0 	0 	
MATALPHA1 	0 	0 	
YCR041W 	1 	0 	
TAF2 	6 	185 	
YCR043C 	10 	123 	
PER1 	1 	0 	
RRT12 	40 	699 	
YCR045W-A 	12 	86 	
IMG1 	7 	44 	
BUD23 	2 	1 	
YCR047W-A 	0 	0 	
YCR049C 	7 	98 	
ARE1 	23 	464 	
