gene_name	number_of_transposon_per_gene	number_of_read_pergene
YBR090C 	37 	367 	
TIM12 	0 	0 	
PHO3 	25 	293 	
PHO5 	26 	433 	
PBY1 	50 	870 	
RXT2 	20 	309 	
YBR096W 	15 	74 	
VPS15 	25 	275 	
MMS4 	36 	620 	
YBR099C 	8 	81 	
FES1 	5 	6 	
EXO84 	16 	123 	
SIF2 	25 	206 	
YBR103C-A 	17 	127 	
YMC2 	39 	526 	
VID24 	27 	446 	
PHO88 	9 	64 	
IML3 	10 	40 	
AIM3 	63 	655 	
CMD1 	1 	0 	
YBR109W-A 	19 	437 	
ALG1 	1 	0 	
YSA1 	16 	63 	
SUS1 	9 	22 	
CYC8 	22 	151 	
YBR113W 	13 	59 	
RAD16 	40 	659 	
LYS2 	9 	30 	
YBR116C 	25 	532 	
TKL2 	55 	834 	
TEF2 	0 	0 	
MUD1 	20 	161 	
CBP6 	4 	4 	
GRS1 	2 	1 	
YBR121C-A 	0 	0 	
MRPL36 	8 	118 	
TFC1 	7 	35 	
YBR124W 	13 	146 	
PTC4 	29 	417 	
TPS1 	15 	153 	
YBR126W-A 	22 	774 	
YBR126W-B 	15 	610 	
VMA2 	8 	36 	
ATG14 	26 	316 	
OPY1 	15 	157 	
SHE3 	11 	76 	
CCZ1 	4 	6 	
YBR131C-A 	0 	0 	
AGP2 	33 	634 	
HSL7 	77 	1350 	
YBR134W 	22 	494 	
CKS1 	5 	4 	
MEC1 	14 	42 	
YBR137W 	21 	243 	
YBR138C 	36 	401 	
YBR139W 	17 	167 	
IRA1 	41 	404 	
BMT2 	28 	421 	
YBR141W-A 	2 	4 	
MAK5 	1 	0 	
SUP45 	0 	0 	
YBR144C 	20 	511 	
ADH5 	22 	495 	
MRPS9 	0 	0 	
RTC2 	21 	564 	
YSW1 	45 	459 	
ARA1 	17 	172 	
TBS1 	49 	712 	
APD1 	23 	270 	
SPP381 	17 	222 	
RIB7 	2 	6 	
RPB5 	0 	0 	
CNS1 	0 	0 	
SLI15 	3 	11 	
ICS2 	16 	152 	
AMN1 	42 	813 	
IFA38 	2 	1 	
CDC28 	1 	0 	
CSH1 	25 	109 	
TOS1 	31 	506 	
YSY6 	2 	3 	
EXO5 	2 	2 	
ARL1 	4 	5 	
UBS1 	13 	94 	
TYR1 	6 	7 	
POP7 	0 	0 	
PEX32 	28 	444 	
SSE2 	31 	277 	
NPL4 	9 	35 	
SEC66 	4 	47 	
SMY2 	31 	238 	
UMP1 	2 	6 	
YBR174C 	10 	99 	
SWD3 	16 	87 	
ECM31 	15 	86 	
EHT1 	35 	507 	
YBR178W 	26 	302 	
FZO1 	0 	0 	
DTR1 	40 	293 	
RPS6B 	10 	156 	
SMP1 	38 	303 	
YBR182C-A 	7 	73 	
YPC1 	16 	351 	
YBR184W 	35 	461 	
MBA1 	8 	106 	
PCH2 	50 	843 	
GDT1 	23 	319 	
NTC20 	14 	67 	
RPS9B 	2 	1 	
YBR190W 	11 	85 	
RPL21A 	3 	2 	
YBR191W-A 	0 	0 	
RIM2 	0 	0 	
MED8 	2 	1 	
AIM4 	15 	91 	
MSI1 	33 	326 	
PGI1 	0 	0 	
YBR196C-A 	23 	161 	
YBR196C-B 	8 	200 	
YBR197C 	59 	2068 	
TAF5 	1 	0 	
KTR4 	19 	153 	
BEM1 	12 	28 	
YBR200W-A 	1 	0 	
DER1 	7 	54 	
YBR201C-A 	6 	80 	
MCM7 	5 	92 	
COS111 	34 	481 	
LDH1 	28 	382 	
KTR3 	29 	564 	
YBR206W 	11 	129 	
FTH1 	35 	345 	
DUR1
YBR209W 	25 	673 	
ERV15 	11 	32 	
AME1 	2 	4 	
NGR1 	21 	445 	
MET8 	46 	1474 	
SDS24 	29 	402 	
HPC2 	15 	97 	
YBP1 	24 	427 	
ATG12 	5 	28 	
PYC2 	47 	731 	
YBR219C 	47 	729 	
YBR220C 	41 	596 	
PDB1 	21 	543 	
