gene_name	number_of_transposon_per_gene	number_of_read_pergene
PGI1 	0 	0 	
YBR196C-A 	18 	257 	
YBR196C-B 	9 	186 	
YBR197C 	56 	1021 	
TAF5 	5 	23 	
KTR4 	26 	196 	
BEM1 	23 	192 	
YBR200W-A 	5 	12 	
DER1 	21 	127 	
YBR201C-A 	8 	226 	
MCM7 	13 	159 	
COS111 	27 	308 	
LDH1 	26 	598 	
KTR3 	39 	567 	
YBR206W 	15 	136 	
FTH1 	33 	257 	
DUR1
YBR209W 	36 	943 	
ERV15 	6 	9 	
AME1 	5 	30 	
NGR1 	27 	428 	
MET8 	53 	854 	
SDS24 	41 	476 	
HPC2 	27 	379 	
YBP1 	35 	371 	
ATG12 	8 	56 	
PYC2 	61 	1040 	
YBR219C 	48 	687 	
YBR220C 	52 	1208 	
PDB1 	29 	527 	
YBR221W-A 	13 	260 	
PCS60 	91 	1198 	
TDP1 	77 	1578 	
YBR223W-A 	7 	256 	
YBR224W 	26 	362 	
YBR225W 	44 	495 	
YBR226C 	8 	29 	
MCX1 	30 	187 	
SLX1 	27 	581 	
ROT2 	58 	933 	
OM14 	29 	224 	
YBR230W-A 	9 	175 	
SWC5 	29 	576 	
YBR232C 	18 	153 	
PBP2 	47 	505 	
DAD3 	0 	0 	
ARC40 	1 	0 	
VHC1 	66 	1276 	
ABD1 	3 	13 	
PRP5 	4 	14 	
YBR238C 	39 	641 	
ERT1 	107 	2479 	
THI2 	36 	579 	
YBR241C 	73 	957 	
YBR242W 	25 	311 	
ALG7 	4 	7 	
GPX2 	15 	152 	
ISW1 	55 	767 	
RRT2 	21 	321 	
ENP1 	1 	0 	
HIS7 	42 	704 	
ARO4 	19 	129 	
SPO23 	45 	506 	
MRPS5 	15 	162 	
DUT1 	3 	11 	
SRB6 	1 	0 	
TRS20 	0 	0 	
MTC4 	21 	208 	
YBR255C-A 	18 	183 	
RIB5 	3 	28 	
POP4 	0 	0 	
SHG1 	13 	52 	
YBR259W 	40 	487 	
RGD1 	33 	326 	
TAE1 	14 	222 	
MIC12 	5 	39 	
SHM1 	34 	448 	
YPT10 	14 	188 	
TSC10 	1 	0 	
REI1 	23 	225 	
SLM6 	5 	7 	
MRPL37 	4 	72 	
FMP21 	13 	41 	
BIT2 	59 	752 	
EFM2 	30 	438 	
HSM3 	25 	323 	
UBX7 	34 	407 	
CHK1 	22 	160 	
RIF1 	50 	875 	
PPS1 	35 	499 	
YBR277C 	24 	173 	
DPB3 	23 	257 	
PAF1 	11 	55 	
SAF1 	41 	418 	
DUG2 	59 	591 	
MRPL27 	12 	111 	
SSH1 	20 	140 	
YBR284W 	86 	1836 	
YBR285W 	8 	11 	
APE3 	38 	616 	
YBR287W 	33 	497 	
APM3 	16 	122 	
SNF5 	28 	209 	
BSD2 	23 	452 	
CTP1 	55 	1578 	
YBR292C 	21 	241 	
VBA2 	46 	966 	
SUL1 	55 	608 	
PCA1 	105 	1348 	
PHO89 	62 	1106 	
YBR296C-A 	8 	35 	
MAL33 	41 	415 	
MAL31 	40 	627 	
YBR298C-A 	11 	213 	
MAL32 	11 	139 	
YBR300C 	15 	88 	
PAU24 	1 	0 	
COS2 	0 	0 	
YCL076W 	3 	35 	
GEX1 	11 	75 	
VBA3 	2 	1 	
YCL068C 	3 	2 	
HMLALPHA2 	0 	0 	
HMLALPHA1 	0 	0 	
YCL065W 	0 	0 	
CHA1 	13 	47 	
VAC17 	28 	354 	
MRC1 	56 	491 	
KRR1 	5 	22 	
FYV5 	15 	131 	
ADF1 	8 	24 	
MIC10 	15 	182 	
PRD1 	54 	860 	
PEX34 	10 	107 	
KAR4 	20 	329 	
SPB1 	21 	175 	
PBN1 	13 	157 	
LRE1 	61 	1311 	
APA1 	27 	555 	
YCL049C 	52 	698 	
YCL048W-A 	9 	54 	
SPS22 	61 	1512 	
POF1 	27 	498 	
EMC1 	58 	938 	
YCL046W 	8 	64 	
MGR1 	72 	1283 	
PDI1 	5 	9 	
YCL041C 	40 	433 	
YCL042W 	40 	924 	
GLK1 	131 	3607 	
GID7 	117 	3633 	
ATG22 	83 	1002 	
SRO9 	67 	1752 	
GFD2 	135 	3612 	
GRX1 	14 	144 	
LSB5 	72 	1806 	
MXR2 	40 	425 	
STE50 	44 	1212 	
RRP7 	5 	10 	
HIS4 	118 	3292 	
BIK1 	90 	4149 	
RNQ1 	56 	1160 	
FUS1 	92 	2094 	
HBN1 	39 	189 	
FRM2 	51 	1556 	
AGP1 	155 	5208 	
YCL023C 	42 	2323 	
KCC4 	247 	6942 	
YCL022C 	53 	1936 	
YCL021W-A 	43 	991 	
LEU2 	0 	0 	
NFS1 	1 	0 	
DCC1 	45 	551 	
BUD3 	453 	11877 	
YCL012C 	49 	440 	
GBP2 	119 	3737 	
SGF29 	80 	2551 	
ILV6 	81 	3015 	
STP22 	88 	2460 	
YCL007C 	7 	136 	
VMA9 	5 	12 	
LDB16 	69 	1631 	
PGS1 	114 	1798 	
YCL002C 	105 	3100 	
RER1 	51 	1048 	
YCL001W-A 	46 	312 	
YCL001W-B 	29 	575 	
YCR001W 	37 	1116 	
CDC10 	12 	80 	
MRPL32 	48 	2342 	
YCP4 	68 	1368 	
CIT2 	161 	6480 	
YCR006C 	12 	6811 	
YCR007C 	66 	2516 	
SAT4 	98 	1583 	
RVS161 	38 	274 	
ADY2 	65 	1891 	
ADP1 	203 	5120 	
PGK1 	6 	59 	
YCR013C 	10 	99 	
POL4 	110 	1828 	
YCR015C 	57 	845 	
YCR016W 	49 	877 	
CWH43 	172 	4384 	
SRD1 	26 	532 	
YCR018C-A 	11 	444 	
MAK32 	72 	1686 	
PET18 	55 	1223 	
MAK31 	12 	204 	
HTL1 	3 	3 	
HSP30 	61 	1050 	
YCR022C 	38 	766 	
YCR023C 	114 	2568 	
SLM5 	55 	523 	
YCR024C-B 	17 	139 	
PMP1 	6 	20 	
YCR025C 	53 	1139 	
NPP1 	97 	1430 	
RHB1 	20 	227 	
FEN2 	40 	347 	
RIM1 	14 	135 	
SYP1 	98 	1645 	
RPS14A 	24 	213 	
BPH1 	206 	2783 	
SNT1 	82 	1346 	
ELO2 	16 	210 	
RRP43 	0 	0 	
RBK1 	54 	1017 	
PHO87 	98 	1223 	
BUD5 	55 	385 	
YCR038W-A 	6 	73 	
MATALPHA2 	2 	1 	
MATALPHA1 	0 	0 	
YCR041W 	4 	38 	
TAF2 	26 	467 	
YCR043C 	16 	785 	
PER1 	7 	37 	
RRT12 	101 	1857 	
YCR045W-A 	35 	427 	
IMG1 	25 	357 	
BUD23 	21 	192 	
YCR047W-A 	2 	5 	
YCR049C 	26 	527 	
ARE1 	93 	2470 	
YCR050C 	13 	300 	
YCR051W 	22 	412 	
RSC6 	12 	58 	
THR4 	12 	35 	
CTR86 	13 	92 	
PWP2 	7 	52 	
