gene_name	number_of_transposon_per_gene	number_of_read_pergene
UBS1 	7 	168 	
TYR1 	6 	7 	
POP7 	0 	0 	
PEX32 	20 	287 	
SSE2 	18 	178 	
NPL4 	5 	20 	
SEC66 	10 	208 	
SMY2 	18 	340 	
UMP1 	3 	16 	
YBR174C 	11 	187 	
SWD3 	17 	297 	
ECM31 	12 	211 	
EHT1 	19 	305 	
YBR178W 	18 	655 	
FZO1 	10 	36 	
DTR1 	22 	500 	
RPS6B 	9 	65 	
SMP1 	31 	723 	
YBR182C-A 	3 	8 	
YPC1 	12 	253 	
YBR184W 	20 	420 	
MBA1 	7 	174 	
PCH2 	44 	1000 	
GDT1 	8 	107 	
NTC20 	12 	137 	
RPS9B 	6 	34 	
YBR190W 	16 	238 	
RPL21A 	3 	5 	
YBR191W-A 	1 	0 	
RIM2 	5 	35 	
MED8 	1 	0 	
AIM4 	6 	10 	
MSI1 	14 	273 	
PGI1 	0 	0 	
YBR196C-A 	16 	320 	
YBR196C-B 	7 	97 	
YBR197C 	54 	3575 	
TAF5 	1 	0 	
KTR4 	11 	248 	
BEM1 	5 	13 	
YBR200W-A 	3 	10 	
DER1 	18 	516 	
YBR201C-A 	3 	10 	
MCM7 	6 	12 	
COS111 	12 	346 	
LDH1 	19 	817 	
KTR3 	29 	624 	
YBR206W 	14 	204 	
FTH1 	21 	374 	
DUR1
YBR209W 	29 	868 	
ERV15 	6 	93 	
AME1 	3 	77 	
NGR1 	21 	678 	
MET8 	29 	1081 	
SDS24 	23 	617 	
HPC2 	12 	277 	
YBP1 	15 	556 	
ATG12 	4 	9 	
PYC2 	46 	2045 	
YBR219C 	38 	321 	
YBR220C 	31 	696 	
PDB1 	17 	337 	
YBR221W-A 	11 	369 	
PCS60 	76 	2130 	
TDP1 	68 	2199 	
YBR223W-A 	8 	227 	
YBR224W 	18 	421 	
YBR225W 	27 	558 	
YBR226C 	5 	15 	
MCX1 	21 	103 	
SLX1 	13 	176 	
ROT2 	28 	866 	
OM14 	17 	332 	
YBR230W-A 	5 	33 	
SWC5 	18 	155 	
YBR232C 	13 	235 	
PBP2 	40 	729 	
DAD3 	2 	1 	
ARC40 	0 	0 	
VHC1 	39 	1373 	
ABD1 	0 	0 	
PRP5 	1 	0 	
YBR238C 	18 	1632 	
ERT1 	57 	2570 	
THI2 	45 	1512 	
YBR241C 	54 	2514 	
YBR242W 	18 	331 	
ALG7 	2 	1 	
GPX2 	8 	46 	
ISW1 	48 	2008 	
RRT2 	11 	166 	
ENP1 	1 	0 	
HIS7 	23 	451 	
ARO4 	8 	51 	
SPO23 	27 	646 	
MRPS5 	5 	10 	
DUT1 	0 	0 	
SRB6 	2 	2 	
TRS20 	0 	0 	
MTC4 	20 	522 	
YBR255C-A 	10 	118 	
RIB5 	3 	13 	
POP4 	0 	0 	
SHG1 	5 	46 	
YBR259W 	23 	399 	
RGD1 	26 	460 	
TAE1 	11 	209 	
MIC12 	1 	0 	
SHM1 	32 	581 	
YPT10 	11 	165 	
TSC10 	3 	36 	
REI1 	14 	321 	
SLM6 	6 	13 	
MRPL37 	2 	4 	
FMP21 	3 	25 	
BIT2 	29 	547 	
EFM2 	16 	229 	
HSM3 	18 	256 	
UBX7 	16 	579 	
CHK1 	21 	180 	
RIF1 	31 	796 	
PPS1 	36 	1292 	
YBR277C 	18 	359 	
DPB3 	13 	479 	
PAF1 	6 	33 	
SAF1 	9 	273 	
DUG2 	46 	1035 	
MRPL27 	3 	14 	
SSH1 	13 	99 	
YBR284W 	65 	2185 	
YBR285W 	2 	10 	
APE3 	19 	603 	
YBR287W 	23 	964 	
APM3 	14 	135 	
SNF5 	19 	159 	
BSD2 	14 	206 	
CTP1 	49 	2830 	
YBR292C 	18 	91 	
VBA2 	22 	376 	
SUL1 	31 	766 	
PCA1 	86 	3374 	
PHO89 	33 	1763 	
YBR296C-A 	8 	74 	
MAL33 	32 	851 	
MAL31 	24 	763 	
YBR298C-A 	9 	211 	
MAL32 	6 	274 	
YBR300C 	10 	51 	
PAU24 	1 	0 	
COS2 	1 	0 	
YCL076W 	3 	121 	
GEX1 	6 	5 	
VBA3 	1 	0 	
YCL068C 	3 	2 	
HMLALPHA2 	0 	0 	
HMLALPHA1 	0 	0 	
YCL065W 	0 	0 	
CHA1 	10 	554 	
VAC17 	15 	259 	
MRC1 	33 	534 	
KRR1 	1 	0 	
FYV5 	8 	419 	
ADF1 	3 	133 	
MIC10 	7 	69 	
PRD1 	48 	1899 	
PEX34 	6 	64 	
KAR4 	11 	422 	
SPB1 	8 	205 	
PBN1 	9 	118 	
LRE1 	53 	2817 	
APA1 	10 	377 	
YCL049C 	29 	732 	
YCL048W-A 	4 	22 	
SPS22 	36 	1029 	
POF1 	23 	1411 	
EMC1 	32 	409 	
YCL046W 	10 	79 	
MGR1 	31 	462 	
PDI1 	1 	0 	
YCL041C 	37 	231 	
YCL042W 	38 	1114 	
GLK1 	95 	5534 	
GID7 	71 	2336 	
ATG22 	53 	2295 	
SRO9 	41 	977 	
GFD2 	121 	5935 	
GRX1 	14 	523 	
LSB5 	63 	3451 	
MXR2 	24 	402 	
STE50 	45 	1856 	
RRP7 	5 	7 	
HIS4 	79 	1942 	
BIK1 	93 	5599 	
RNQ1 	45 	1593 	
FUS1 	76 	4587 	
HBN1 	29 	272 	
FRM2 	37 	2417 	
AGP1 	101 	4544 	
YCL023C 	33 	1666 	
KCC4 	224 	12795 	
YCL022C 	46 	3947 	
YCL021W-A 	37 	1118 	
LEU2 	0 	0 	
NFS1 	1 	0 	
DCC1 	30 	416 	
BUD3 	380 	23732 	
YCL012C 	44 	697 	
GBP2 	97 	5776 	
SGF29 	66 	3672 	
ILV6 	78 	5106 	
STP22 	56 	2043 	
YCL007C 	8 	55 	
VMA9 	11 	42 	
LDB16 	55 	1838 	
PGS1 	40 	646 	
YCL002C 	81 	4281 	
RER1 	62 	534 	
YCL001W-A 	49 	338 	
YCL001W-B 	29 	619 	
YCR001W 	36 	1564 	
CDC10 	9 	63 	
MRPL32 	34 	2801 	
YCP4 	58 	1928 	
CIT2 	134 	10071 	
YCR006C 	18 	12566 	
YCR007C 	64 	2574 	
SAT4 	64 	1379 	
RVS161 	16 	127 	
ADY2 	61 	3541 	
ADP1 	146 	7962 	
PGK1 	4 	68 	
YCR013C 	6 	612 	
POL4 	106 	2914 	
YCR015C 	45 	1917 	
YCR016W 	51 	1519 	
CWH43 	130 	3745 	
SRD1 	30 	498 	
YCR018C-A 	6 	684 	
MAK32 	54 	2260 	
PET18 	39 	1131 	
MAK31 	10 	110 	
HTL1 	3 	7 	
HSP30 	45 	2956 	
YCR022C 	30 	1710 	
YCR023C 	86 	4353 	
SLM5 	25 	281 	
YCR024C-B 	10 	121 	
PMP1 	4 	19 	
YCR025C 	41 	1336 	
NPP1 	77 	1643 	
RHB1 	17 	71 	
FEN2 	44 	1257 	
RIM1 	5 	10 	
SYP1 	57 	2094 	
RPS14A 	22 	450 	
BPH1 	123 	2714 	
SNT1 	39 	1408 	
ELO2 	11 	271 	
RRP43 	0 	0 	
RBK1 	38 	745 	
PHO87 	60 	1292 	
BUD5 	35 	545 	
YCR038W-A 	3 	188 	
MATALPHA2 	1 	0 	
MATALPHA1 	0 	0 	
YCR041W 	1 	0 	
TAF2 	9 	80 	
YCR043C 	14 	321 	
PER1 	0 	0 	
RRT12 	72 	2154 	
YCR045W-A 	30 	541 	
IMG1 	16 	440 	
BUD23 	13 	75 	
YCR047W-A 	3 	2 	
YCR049C 	18 	972 	
ARE1 	70 	3542 	
YCR050C 	12 	186 	
YCR051W 	20 	941 	
RSC6 	6 	32 	
THR4 	11 	216 	
CTR86 	9 	475 	
PWP2 	8 	226 	
YIH1 	29 	1141 	
TAH1 	6 	78 	
YCR061W 	108 	5472 	
YCR064C 	19 	1403 	
BUD31 	9 	40 	
HCM1 	60 	1994 	
RAD18 	20 	506 	
SED4 	61 	1483 	
ATG15 	36 	619 	
CPR4 	23 	379 	
IMG2 	7 	89 	
RSA4 	0 	0 	
SSK22 	68 	1563 	
SOL2 	19 	392 	
ERS1 	19 	653 	
YCR075W-A 	3 	27 	
FUB1 	17 	424 	
PAT1 	14 	120 	
PTC6 	28 	901 	
SRB8 	61 	1335 	
YCR081C-A 	2 	8 	
AHC2 	13 	332 	
TRX3 	7 	90 	
TUP1 	1 	0 	
YCR085W 	15 	60 	
CSM1 	17 	434 	
YCR087W 	10 	390 	
YCR087C-A 	8 	204 	
ABP1 	42 	1052 	
FIG2 	43 	997 	
YCR090C 	8 	41 	
KIN82 	29 	1688 	
MSH3 	58 	814 	
CDC39 	12 	144 	
CDC50 	6 	71 	
OCA4 	10 	64 	
YCR095W-A 	2 	1 	
HMRA2 	0 	0 	
HMRA1 	1 	0 	
YCR097W-A 	2 	8 	
GIT1 	21 	350 	
YCR099C 	1 	0 	
YCR100C 	7 	178 	
YCR101C 	8 	121 	
YCR102C 	24 	1616 	
YCR102W-A 	2 	3 	
PAU3 	7 	31 	
ADH7 	40 	1838 	
RDS1 	27 	786 	
AAD3 	26 	601 	
YCR108C 	8 	181 	
COS7 	2 	1 	
YDL247W-A 	0 	0 	
MPH2 	2 	1 	
SOR2 	2 	30 	
HXT15 	7 	164 	
THI13 	7 	27 	
AAD4 	26 	894 	
YDL242W 	19 	807 	
YDL241W 	6 	48 	
YDL240C-A 	16 	488 	
LRG1 	43 	1195 	
ADY3 	25 	304 	
GUD1 	21 	945 	
AIM6 	20 	579 	
PHO13 	13 	223 	
YPD1 	1 	0 	
GYP7 	33 	977 	
MFG1 	30 	700 	
OST4 	1 	0 	
BRE4 	42 	633 	
PTP1 	27 	708 	
SSB1 	17 	371 	
YDL228C 	6 	49 	
HO 	72 	1583 	
GCS1 	8 	146 	
SHS1 	25 	376 	
WHI4 	22 	733 	
HBT1 	60 	1133 	
FMP45 	14 	119 	
YDL221W 	41 	2480 	
CDC13 	39 	1703 	
DTD1 	13 	98 	
YDL218W 	19 	365 	
TIM22 	1 	0 	
RRI1 	23 	625 	
GDH2 	48 	1459 	
PRR2 	37 	1143 	
NOP6 	13 	225 	
SHR3 	6 	55 	
YDL211C 	36 	743 	
UGA4 	42 	986 	
CWC2 	0 	0 	
NHP2 	3 	4 	
GLE1 	6 	81 	
YDL206W 	26 	633 	
HEM3 	1 	0 	
RTN2 	19 	966 	
ACK1 	22 	108 	
MRPL11 	4 	47 	
TRM8 	24 	558 	
MGT1 	14 	83 	
YDL199C 	32 	1204 	
GGC1 	13 	125 	
ASF2 	51 	804 	
YDL196W 	21 	792 	
SEC31 	2 	2 	
SNF3 	20 	223 	
NUS1 	2 	1 	
ARF1 	13 	320 	
RPL35A 	0 	0 	
UFD2 	32 	556 	
RBS1 	22 	265 	
PPH22 	14 	138 	
YDL187C 	8 	27 	
YDL186W 	6 	20 	
YDL185C-A 	2 	2 	
VMA1 	3 	10 	
RPL41A 	1 	0 	
YDL183C 	23 	422 	
LYS20 	18 	427 	
INH1 	7 	39 	
YDL180W 	18 	171 	
PCL9 	17 	78 	
DLD2 	42 	887 	
YDL177C 	19 	602 	
YDL176W 	29 	1008 	
AIR2 	23 	398 	
DLD1 	47 	1724 	
PAR32 	14 	148 	
YDL172C 	6 	28 	
GLT1 	95 	3576 	
UGA3 	31 	870 	
UGX2 	8 	341 	
SFA1 	21 	577 	
NRP1 	43 	1088 	
FAP7 	0 	0 	
CDC36 	0 	0 	
CDC9 	6 	64 	
YDL163W 	6 	64 	
YDL162C 	23 	795 	
ENT1 	20 	389 	
MHF2 	5 	176 	
DHH1 	3 	17 	
YDL159W-A 	10 	192 	
STE7 	27 	994 	
YDL159C-B 	1 	0 	
YDL158C 	8 	73 	
YDL157C 	8 	43 	
CMR1 	57 	2161 	
CLB3 	15 	166 	
MSH5 	48 	1506 	
SAS10 	5 	27 	
YDL152W 	12 	372 	
BUD30 	2 	5 	
RPC53 	2 	5 	
ATG9 	20 	139 	
NOP14 	13 	393 	
RPN5 	2 	2 	
LDB17 	26 	368 	
COP1 	8 	32 	
YDL144C 	24 	1163 	
CCT4 	0 	0 	
CRD1 	22 	411 	
BPL1 	0 	0 	
RPO21 	3 	2 	
SCM3 	1 	0 	
RGT2 	47 	1196 	
ARF2 	15 	610 	
RPL35B 	5 	75 	
RDI1 	11 	261 	
PPH21 	14 	203 	
RPL41B 	2 	3 	
SRF1 	23 	405 	
CDC53 	9 	236 	
LYS21 	14 	190 	
STF1 	9 	178 	
RPP1B 	13 	244 	
YDL129W 	18 	213 	
VCX1 	28 	628 	
PCL2 	29 	805 	
CDC48 	2 	1 	
HNT1 	20 	358 	
YDL124W 	26 	458 	
SNA4 	17 	511 	
UBP1 	20 	255 	
YDL121C 	8 	220 	
YFH1 	0 	0 	
YDL119C 	18 	227 	
YDL118W 	4 	33 	
CYK3 	32 	398 	
NUP84 	5 	4 	
IWR1 	14 	107 	
YDL114W-A 	0 	0 	
YDL114W 	21 	402 	
ATG20 	26 	756 	
TRM3 	59 	2327 	
RRP42 	2 	1 	
TMA17 	17 	304 	
YDL109C 	55 	1256 	
KIN28 	4 	58 	
MSS2 	18 	215 	
PHO2 	21 	567 	
NSE4 	0 	0 	
QRI7 	20 	402 	
QRI1 	3 	18 	
POL3 	6 	37 	
DUN1 	39 	634 	
GET3 	10 	150 	
BUG1 	26 	596 	
SNU23 	4 	11 	
RPN6 	1 	0 	
OPI6 	11 	314 	
PMT1 	35 	970 	
YDL094C 	20 	1070 	
PMT5 	53 	889 	
SRP14 	6 	95 	
UBX3 	36 	780 	
RAM1 	7 	84 	
NUR1 	32 	661 	
ASM4 	28 	477 	
LUC7 	4 	56 	
YDL086W 	46 	2942 	
YDL086C-A 	30 	1757 	
YDL085C-A 	6 	35 	
NDE2 	50 	2397 	
SUB2 	1 	0 	
RPS16B 	18 	198 	
RPL13A 	15 	210 	
RPP1A 	4 	37 	
THI3 	24 	528 	
MRK1 	56 	1062 	
MDH3 	21 	371 	
VAM6 	3 	7 	
RXT3 	23 	234 	
RPL31A 	3 	2 	
BRE1 	4 	4 	
YDL073W 	25 	460 	
YET3 	7 	14 	
YDL071C 	31 	480 	
BDF2 	33 	417 	
CBS1 	9 	100 	
YDL068W 	5 	49 	
COX9 	0 	0 	
IDP1 	31 	784 	
PEX19 	29 	426 	
UBC9 	0 	0 	
SYO1 	35 	554 	
YDL062W 	9 	128 	
RPS29B 	3 	2 	
TSR1 	1 	0 	
RAD59 	21 	274 	
USO1 	33 	916 	
YDL057W 	44 	1361 	
MBP1 	33 	543 	
PSA1 	5 	66 	
MCH1 	70 	3186 	
PBP4 	22 	118 	
SLC1 	31 	1068 	
LHP1 	35 	1004 	
YDL050C 	16 	402 	
KNH1 	45 	1460 	
STP4 	74 	2369 	
SIT4 	3 	11 	
NPC2 	21 	236 	
MRP10 	3 	2 	
FAD1 	3 	2 	
MTF2 	29 	704 	
PRP11 	5 	117 	
SIR2 	72 	2489 	
YDL041W 	23 	433 	
NAT1 	43 	549 	
PRM7 	32 	348 	
BSC1 	17 	268 	
PUS9 	28 	572 	
GPR1 	33 	598 	
YDL034W 	4 	23 	
SLM3 	71 	3361 	
YDL032W 	10 	77 	
DBP10 	8 	42 	
PRP9 	9 	157 	
ARP2 	2 	2 	
MPS1 	8 	232 	
YDL027C 	34 	880 	
YDL026W 	12 	147 	
RTK1 	38 	721 	
YDL025W-A 	1 	0 	
DIA3 	59 	1944 	
YDL022C-A 	17 	453 	
YDL023C 	14 	124 	
GPD1 	45 	1768 	
GPM2 	73 	3831 	
RPN4 	79 	1831 	
OSH2 	134 	6834 	
ERP3 	21 	812 	
CDC7 	10 	112 	
YDL016C 	20 	246 	
TSC13 	1 	0 	
NOP1 	1 	0 	
SLX5 	18 	74 	
YDL012C 	32 	1422 	
YDL011C 	24 	817 	
GRX6 	45 	1172 	
YDL009C 	24 	124 	
APC11 	12 	331 	
YDL007C-A 	20 	843 	
RPT2 	4 	8 	
PTC1 	2 	1 	
MED2 	54 	640 	
ATP16 	17 	290 	
MCD1 	8 	134 	
NHP10 	55 	2715 	
RMD1 	118 	14234 	
NTH1 	224 	14735 	
YRB1 	3 	3 	
