gene_name	number_of_transposon_per_gene	number_of_read_pergene
YBR063C 	26 	289 	
YBR064W 	10 	34 	
ECM2 	51 	468 	
NRG2 	22 	368 	
TIP1 	20 	116 	
BAP2 	17 	149 	
TAT1 	9 	34 	
ALG14 	0 	0 	
YBR071W 	44 	832 	
HSP26 	20 	256 	
YBR072C-A 	19 	463 	
RDH54 	61 	834 	
PFF1 	67 	968 	
ECM8 	57 	1100 	
YBR076C-A 	16 	403 	
SLM4 	42 	394 	
ECM33 	57 	1477 	
RPG1 	9 	56 	
SEC18 	3 	2 	
SPT7 	40 	314 	
UBC4 	8 	58 	
TEC1 	47 	319 	
MIS1 	77 	1666 	
RPL19A 	16 	116 	
AAC3 	20 	247 	
YBR085C-A 	5 	70 	
IST2 	69 	736 	
RFC5 	0 	0 	
POL30 	1 	0 	
YBR089W 	0 	0 	
NHP6B 	35 	431 	
YBR090C 	49 	734 	
TIM12 	0 	0 	
PHO3 	31 	249 	
PHO5 	21 	289 	
PBY1 	47 	561 	
RXT2 	16 	166 	
YBR096W 	14 	77 	
VPS15 	19 	69 	
MMS4 	49 	698 	
YBR099C 	15 	217 	
FES1 	10 	22 	
EXO84 	20 	255 	
SIF2 	18 	141 	
YBR103C-A 	12 	261 	
YMC2 	43 	651 	
VID24 	32 	461 	
PHO88 	10 	110 	
IML3 	12 	50 	
AIM3 	58 	800 	
CMD1 	1 	0 	
YBR109W-A 	15 	219 	
ALG1 	2 	6 	
YSA1 	20 	204 	
SUS1 	4 	6 	
CYC8 	18 	140 	
YBR113W 	14 	99 	
RAD16 	38 	374 	
LYS2 	13 	37 	
YBR116C 	22 	417 	
TKL2 	54 	968 	
TEF2 	0 	0 	
MUD1 	23 	219 	
CBP6 	6 	17 	
GRS1 	0 	0 	
YBR121C-A 	0 	0 	
MRPL36 	5 	58 	
TFC1 	8 	54 	
YBR124W 	14 	278 	
PTC4 	23 	159 	
TPS1 	7 	50 	
YBR126W-A 	20 	665 	
YBR126W-B 	12 	233 	
VMA2 	6 	16 	
ATG14 	24 	346 	
OPY1 	11 	141 	
SHE3 	8 	30 	
CCZ1 	10 	15 	
YBR131C-A 	0 	0 	
AGP2 	29 	460 	
HSL7 	66 	955 	
YBR134W 	17 	347 	
CKS1 	2 	1 	
MEC1 	6 	21 	
YBR137W 	19 	159 	
YBR138C 	33 	279 	
YBR139W 	24 	310 	
IRA1 	25 	369 	
BMT2 	21 	385 	
YBR141W-A 	3 	5 	
MAK5 	2 	3 	
SUP45 	0 	0 	
YBR144C 	24 	874 	
ADH5 	23 	296 	
MRPS9 	7 	55 	
RTC2 	19 	344 	
YSW1 	35 	410 	
ARA1 	14 	74 	
TBS1 	40 	400 	
APD1 	19 	280 	
SPP381 	20 	200 	
RIB7 	1 	0 	
RPB5 	0 	0 	
CNS1 	1 	0 	
SLI15 	4 	54 	
ICS2 	21 	371 	
AMN1 	37 	362 	
IFA38 	2 	2 	
CDC28 	0 	0 	
CSH1 	24 	170 	
TOS1 	42 	577 	
YSY6 	2 	3 	
EXO5 	25 	173 	
ARL1 	6 	22 	
UBS1 	7 	40 	
TYR1 	1 	0 	
POP7 	0 	0 	
PEX32 	21 	270 	
SSE2 	31 	321 	
NPL4 	12 	206 	
SEC66 	5 	10 	
SMY2 	20 	186 	
UMP1 	1 	0 	
YBR174C 	10 	272 	
SWD3 	11 	137 	
ECM31 	18 	146 	
EHT1 	26 	495 	
YBR178W 	23 	564 	
FZO1 	18 	81 	
DTR1 	39 	352 	
RPS6B 	3 	5 	
SMP1 	44 	451 	
YBR182C-A 	4 	14 	
YPC1 	22 	167 	
YBR184W 	32 	510 	
MBA1 	11 	105 	
PCH2 	60 	1004 	
GDT1 	17 	224 	
NTC20 	17 	122 	
RPS9B 	5 	7 	
YBR190W 	15 	155 	
RPL21A 	1 	0 	
YBR191W-A 	2 	1 	
RIM2 	3 	2 	
MED8 	4 	17 	
AIM4 	12 	49 	
MSI1 	20 	157 	
PGI1 	0 	0 	
YBR196C-A 	23 	310 	
YBR196C-B 	13 	304 	
YBR197C 	54 	1618 	
TAF5 	0 	0 	
KTR4 	17 	132 	
BEM1 	12 	35 	
YBR200W-A 	1 	0 	
DER1 	9 	73 	
YBR201C-A 	3 	9 	
MCM7 	13 	145 	
COS111 	33 	368 	
LDH1 	30 	558 	
KTR3 	40 	456 	
YBR206W 	13 	83 	
FTH1 	35 	284 	
DUR1
YBR209W 	35 	504 	
ERV15 	7 	42 	
AME1 	3 	11 	
NGR1 	23 	247 	
MET8 	41 	869 	
SDS24 	23 	237 	
HPC2 	11 	163 	
YBP1 	23 	347 	
ATG12 	7 	44 	
PYC2 	55 	854 	
YBR219C 	51 	640 	
YBR220C 	49 	542 	
PDB1 	13 	160 	
YBR221W-A 	20 	404 	
PCS60 	83 	1366 	
